_id,arrivalTime, timeBetweenArrivals, startingService, serviceTime , finishingTime
9011,2230.102, 0.045, 2230.102, 0.156, 2230.259
9012,2230.106, 0.004, 2230.259, 0.144, 2230.403
9013,2230.665, 0.558, 2230.665, 0.096, 2230.761
9014,2230.8, 0.136, 2230.8, 0.406, 2231.206
9015,2230.854, 0.054, 2231.206, 0.074, 2231.28
9016,2230.988, 0.134, 2231.28, 0.463, 2231.743
9017,2231.147, 0.159, 2231.743, 0.326, 2232.068
9018,2231.868, 0.72, 2232.068, 0.097, 2232.165
9019,2231.874, 0.007, 2232.165, 0.254, 2232.42
9020,2231.91, 0.036, 2232.42, 0.082, 2232.502
9021,2231.991, 0.081, 2232.502, 0.124, 2232.626
9022,2232.162, 0.171, 2232.626, 0.026, 2232.652
9023,2232.607, 0.445, 2232.652, 0.115, 2232.767
9024,2232.74, 0.133, 2232.767, 0.127, 2232.893
9025,2232.835, 0.095, 2232.893, 0.022, 2232.915
9026,2233.217, 0.382, 2233.217, 0.057, 2233.275
9027,2233.723, 0.506, 2233.723, 0.104, 2233.827
9028,2233.742, 0.019, 2233.827, 0.057, 2233.884
9029,2233.771, 0.029, 2233.884, 0.412, 2234.297
9030,2233.994, 0.223, 2234.297, 0.823, 2235.12
9031,2234.024, 0.03, 2235.12, 0.026, 2235.145
9032,2234.457, 0.433, 2235.145, 0.014, 2235.16
9033,2234.526, 0.069, 2235.16, 0.022, 2235.182
9034,2234.896, 0.37, 2235.182, 0.139, 2235.321
9035,2234.898, 0.002, 2235.321, 0.709, 2236.029
9036,2235.319, 0.421, 2236.029, 0.274, 2236.303
9037,2235.341, 0.022, 2236.303, 0.005, 2236.308
9038,2235.424, 0.083, 2236.308, 0.145, 2236.453
9039,2235.558, 0.134, 2236.453, 0.451, 2236.904
9040,2235.584, 0.026, 2236.904, 0.167, 2237.071
9041,2236.045, 0.462, 2237.071, 0.268, 2237.339
9042,2236.056, 0.011, 2237.339, 0.931, 2238.27
9043,2236.098, 0.042, 2238.27, 0.419, 2238.689
9044,2236.687, 0.589, 2238.689, 0.01, 2238.699
9045,2236.836, 0.149, 2238.699, 0.037, 2238.736
9046,2237.102, 0.267, 2238.736, 0.198, 2238.934
9047,2237.392, 0.29, 2238.934, 0.003, 2238.937
9048,2237.93, 0.538, 2238.937, 0.043, 2238.98
9049,2237.932, 0.003, 2238.98, 0.296, 2239.276
9050,2238.021, 0.088, 2239.276, 0.029, 2239.306
9051,2238.424, 0.403, 2239.306, 0.04, 2239.346
9052,2238.764, 0.34, 2239.346, 0.067, 2239.412
9053,2239.14, 0.376, 2239.412, 0.041, 2239.453
9054,2239.215, 0.075, 2239.453, 0.109, 2239.562
9055,2239.354, 0.139, 2239.562, 0.144, 2239.705
9056,2240.02, 0.666, 2240.02, 0.176, 2240.196
9057,2240.527, 0.507, 2240.527, 0.044, 2240.571
9058,2241.491, 0.963, 2241.491, 0.032, 2241.523
9059,2242.039, 0.549, 2242.039, 0.06, 2242.1
9060,2242.114, 0.074, 2242.114, 0.128, 2242.241
9061,2242.171, 0.057, 2242.241, 0.215, 2242.456
9062,2242.386, 0.215, 2242.456, 0.11, 2242.567
9063,2242.446, 0.06, 2242.567, 0.253, 2242.819
9064,2242.712, 0.266, 2242.819, 0.355, 2243.175
9065,2242.841, 0.129, 2243.175, 0.042, 2243.217
